QueryID,Query,Actual Count,Estimated Count,Abs Diff,Exec Time (s),CPU Time (ns),Peak Mem (bytes)
2331,"select ref_0.ws_list_price as c0, ref_0.ws_sales_price as c1 from main.web_sales as ref_0 where ref_0.ws_bill_cdemo_sk is not NULL limit 93",93,93,0,15.140565214,442886136,0
2360,select ref_0.wr_refunded_cdemo_sk as c0 from main.web_returns as ref_0 where ref_0.wr_refunded_hdemo_sk is not NULL limit 88,88,88,0,0.166740271,414210109,0
2377,select ref_0.inv_date_sk as c0 from main.inventory as ref_0 where ref_0.inv_quantity_on_hand is NULL limit 98,98,98,0,0.258735901,712652504,0
2558,"select ref_0.ca_suite_number as c0, ref_0.ca_suite_number as c1, ref_0.ca_street_name as c2 from main.customer_address as ref_0 where ref_0.ca_street_name is NULL limit 86",86,86,0,0.075612002,17086263,0
2578,"select ref_0.ws_net_profit as c0, ref_0.ws_coupon_amt as c1, ref_0.ws_bill_hdemo_sk as c2, ref_0.ws_ship_date_sk as c3, ref_0.ws_bill_hdemo_sk as c4, ref_0.ws_ship_date_sk as c5, ref_0.ws_ship_addr_sk as c6 from main.web_sales as ref_0 where ref_0.ws_bill_customer_sk is not NULL limit 104",104,104,0,0.154739718,441858307,0
2598,select ref_0.c_birth_year as c0 from main.customer as ref_0 where ref_0.c_first_shipto_date_sk is NULL limit 193,193,193,0,0.089886112,31823280,0
2644,"select subq_0.c0 as c0, subq_0.c0 as c1, subq_0.c0 as c2, cast(coalesce(93, subq_0.c0) as INTEGER) as c3 from (select ref_0.inv_date_sk as c0 from main.inventory as ref_0 where ref_0.inv_date_sk is not NULL limit 130) as subq_0 where ((subq_0.c0 is NULL) and (subq_0.c0 is NULL)) or (subq_0.c0 is not NULL)",130,130,0,15.271240305,502725262,0
2705,"select ref_0.c_birth_year as c0, ref_0.c_first_sales_date_sk as c1, ref_0.c_first_shipto_date_sk as c2 from main.customer as ref_0 where ((ref_0.c_birth_year is NULL) and (ref_0.c_current_addr_sk is NULL)) or (ref_0.c_last_review_date is not NULL) limit 125",125,125,0,0.114708802,40140064,0
2871,"select ref_0.ss_sold_time_sk as c0, cast(coalesce(ref_0.ss_sold_time_sk, ref_0.ss_sales_price) as INTEGER) as c1 from main.store_sales as ref_0 where (ref_0.ss_promo_sk is not NULL) or (ref_0.ss_net_paid_inc_tax is not NULL) limit 142",142,142,0,30.333572227,836208837,0
2877,"select subq_0.c0 as c0, subq_0.c3 as c1, subq_0.c1 as c2, subq_0.c1 as c3, subq_0.c1 as c4, subq_0.c0 as c5, subq_0.c3 as c6, subq_0.c0 as c7 from (select ref_0.c_customer_id as c0, ref_0.c_first_sales_date_sk as c1, ref_0.c_current_cdemo_sk as c2, ref_0.c_last_review_date as c3, ref_0.c_birth_month as c4, ref_0.c_birth_day as c5 from main.customer as ref_0 where ref_0.c_last_review_date is NULL) as subq_0 where subq_0.c2 is NULL limit 104",104,104,0,0.120723041,57263031,0
2947,"select ref_0.d_following_holiday as c0, ref_0.d_last_dom as c1, ref_0.d_current_quarter as c2 from main.date_dim as ref_0 where ref_0.d_moy is not NULL",73049,73049,0,0.077055841,25854769,0
3030,"select ref_0.cr_return_tax as c0, ref_0.cr_reversed_charge as c1 from main.catalog_returns as ref_0 where ref_0.cr_fee is NULL limit 90",90,90,0,0.246069641,649141635,0
3314,"select ref_0.cc_gmt_offset as c0, ref_0.cc_tax_percentage as c1, 71 as c2 from main.call_center as ref_0 where ref_0.cc_state is not NULL limit 112",30,30,0,0.082431692,23041418,0
3541,select ref_0.ca_street_type as c0 from main.customer_address as ref_0 where case when ref_0.ca_street_name is NULL then 16 else 16 end is NULL,0,0,0,0.031659233,966407,0
3570,"select ref_0.wr_return_quantity as c0, 3 as c1 from main.web_returns as ref_0 where ref_0.wr_reason_sk is not NULL limit 125",125,125,0,30.137080213,415023727,0
3629,"select ref_0.ss_ext_discount_amt as c0, ref_0.ss_customer_sk as c1, ref_0.ss_net_paid_inc_tax as c2, ref_0.ss_net_paid as c3 from main.store_sales as ref_0 where ref_0.ss_sales_price is NULL limit 156",156,156,0,15.284902649,1607100402,0
3643,"select distinct subq_0.c3 as c0, subq_0.c0 as c1 from (select ref_0.d_date_sk as c0, ref_0.d_holiday as c1, ref_0.d_fy_week_seq as c2, ref_0.d_weekend as c3 from main.date_dim as ref_0 where ref_0.d_fy_quarter_seq is NULL) as subq_0 where 54 is NULL limit 168",0,0,0,0.037141825,1786560,0
3831,"select subq_0.c1 as c0, case when EXISTS ( select ref_1.ss_item_sk as c0, (select c_email_address from main.customer limit 1 offset 2) as c1 from main.store_sales as ref_1 where (subq_0.c1 is NULL) and (46 is NULL)) then subq_0.c2 else subq_0.c2 end as c1, subq_0.c1 as c2, subq_0.c0 as c3, subq_0.c2 as c4, subq_0.c0 as c5, subq_0.c0 as c6, subq_0.c1 as c7 from (select ref_0.ca_street_name as c0, ref_0.ca_street_number as c1, ref_0.ca_address_sk as c2 from main.customer_address as ref_0 where ref_0.ca_address_id is not NULL limit 163) as subq_0 where subq_0.c2 is not NULL limit 176",163,163,0,0.095451252,19663448,0
3847,"select case when subq_0.c8 is NULL then subq_0.c4 else subq_0.c4 end as c0 from (select ref_0.ca_zip as c0, ref_0.ca_address_sk as c1, 40 as c2, (select sr_net_loss from main.store_returns limit 1 offset 16) as c3, ref_0.ca_county as c4, ref_0.ca_gmt_offset as c5, ref_0.ca_gmt_offset as c6, ref_0.ca_address_id as c7, ref_0.ca_gmt_offset as c8 from main.customer_address as ref_0 where ref_0.ca_zip is not NULL limit 124) as subq_0 where (select d_date_sk from main.date_dim limit 1 offset 2) is not NULL",124,124,0,0.149249261,43876010,0
4079,"select ref_0.c_current_cdemo_sk as c0, ref_0.c_email_address as c1, ref_0.c_login as c2, ref_0.c_current_hdemo_sk as c3, ref_0.c_first_sales_date_sk as c4 from main.customer as ref_0 where cast(nullif(ref_0.c_current_hdemo_sk, ref_0.c_birth_day) as INTEGER) is not NULL limit 106",106,106,0,0.072682745,14141970,0
4118,"select ref_0.d_weekend as c0, ref_0.d_following_holiday as c1 from main.date_dim as ref_0 where cast(nullif(ref_0.d_fy_week_seq, ref_0.d_month_seq) as INTEGER) is not NULL limit 59",59,59,0,0.072884667,14206827,0
4181,select case when (select wr_return_quantity from main.web_returns limit 1 offset 6) is not NULL then ref_0.cc_closed_date_sk else ref_0.cc_closed_date_sk end as c0 from main.call_center as ref_0 where (ref_0.cc_manager is not NULL) or (ref_0.cc_street_name is NULL),30,30,0,0.065205612,7971523,0
4371,"select ref_0.sr_reason_sk as c0, (select sr_return_time_sk from main.store_returns limit 1 offset 2) as c1 from main.store_returns as ref_0 where ref_0.sr_return_amt is NULL limit 60",60,60,0,0.135214233,570526303,0
4411,"select ref_0.cr_refunded_addr_sk as c0, ref_0.cr_item_sk as c1 from main.catalog_returns as ref_0 where cast(nullif(ref_0.cr_catalog_page_sk, case when ref_0.cr_return_tax is NULL then ref_0.cr_return_amt_inc_tax else ref_0.cr_return_amt_inc_tax end ) as INTEGER) is not NULL limit 31",31,31,0,15.163153897,479220558,0
4629,"select subq_0.c0 as c0, (select ws_ext_sales_price from main.web_sales limit 1 offset 2) as c1, subq_0.c0 as c2, subq_0.c0 as c3, subq_0.c2 as c4, subq_0.c0 as c5 from (select ref_0.cs_warehouse_sk as c0, ref_0.cs_ship_addr_sk as c1, (select cc_company_name from main.call_center limit 1 offset 1) as c2 from main.catalog_sales as ref_0 where ref_0.cs_item_sk is not NULL limit 116) as subq_0 where subq_0.c1 is not NULL limit 18",18,18,0,15.206050981,648557291,0
4824,"select ref_0.ss_quantity as c0, case when ref_0.ss_hdemo_sk is NULL then ref_0.ss_ext_list_price else ref_0.ss_ext_list_price end as c1, ref_0.ss_net_paid as c2, ref_0.ss_ext_list_price as c3, ref_0.ss_hdemo_sk as c4 from main.store_sales as ref_0 where ref_0.ss_addr_sk is not NULL limit 128",128,128,0,30.339462278,631849225,0
5033,"select ref_0.sr_cdemo_sk as c0, ref_0.sr_return_ship_cost as c1, cast(coalesce(ref_0.sr_customer_sk, ref_0.sr_reason_sk) as INTEGER) as c2 from main.store_returns as ref_0 where ref_0.sr_store_credit is not NULL limit 128",128,128,0,15.146120755,512045168,0
5083,"select ref_0.cr_catalog_page_sk as c0, ref_0.cr_reversed_charge as c1, ref_0.cr_warehouse_sk as c2, ref_0.cr_call_center_sk as c3, ref_0.cr_store_credit as c4, ref_0.cr_ship_mode_sk as c5, ref_0.cr_refunded_customer_sk as c6, (select ca_street_number from main.customer_address limit 1 offset 3) as c7 from main.catalog_returns as ref_0 where (ref_0.cr_refunded_addr_sk is NULL) or (ref_0.cr_reason_sk is NULL) limit 116",116,116,0,15.242323337,589899055,0
5102,"select ref_0.cs_ext_discount_amt as c0, 94 as c1, ref_0.cs_ext_wholesale_cost as c2, ref_0.cs_item_sk as c3, ref_0.cs_sales_price as c4, ref_0.cs_wholesale_cost as c5, ref_0.cs_ext_ship_cost as c6, case when ref_0.cs_net_profit is not NULL then ref_0.cs_net_paid_inc_tax else ref_0.cs_net_paid_inc_tax end as c7 from main.catalog_sales as ref_0 where ref_0.cs_sold_date_sk is not NULL limit 122",122,122,0,0.332976814,506340169,0
5603,"select ref_0.c_first_name as c0, ref_0.c_last_name as c1, ref_0.c_birth_day as c2, ref_0.c_birth_country as c3, ref_0.c_first_sales_date_sk as c4, ref_0.c_last_review_date as c5, ref_0.c_current_addr_sk as c6, ref_0.c_last_name as c7 from main.customer as ref_0 where ref_0.c_preferred_cust_flag is NULL limit 57",57,57,0,0.086095099,30697192,0
5625,"select ref_0.ws_item_sk as c0, ref_0.ws_ship_hdemo_sk as c1, 60 as c2, ref_0.ws_ship_addr_sk as c3, ref_0.ws_list_price as c4, ref_0.ws_ext_tax as c5, ref_0.ws_sold_date_sk as c6, ref_0.ws_ship_customer_sk as c7, ref_0.ws_ext_tax as c8, ref_0.ws_sales_price as c9, 99 as c10, ref_0.ws_net_paid as c11, ref_0.ws_wholesale_cost as c12 from main.web_sales as ref_0 where (ref_0.ws_ship_mode_sk is not NULL) or (ref_0.ws_bill_addr_sk is not NULL)",71990942,71990942,0,15.453050582,2248470805,0
5645,"select ref_0.wr_returned_date_sk as c0, ref_0.wr_returned_date_sk as c1 from main.web_returns as ref_0 where (select c_first_shipto_date_sk from main.customer limit 1 offset 4) is not NULL limit 143",143,143,0,0.207316259,322232704,0
5719,"select ref_0.ss_ext_wholesale_cost as c0, ref_0.ss_sold_date_sk as c1, ref_0.ss_list_price as c2, ref_0.ss_ext_wholesale_cost as c3, ref_0.ss_ext_wholesale_cost as c4, ref_0.ss_ticket_number as c5 from main.store_sales as ref_0 where ref_0.ss_ext_tax is not NULL limit 135",135,135,0,15.280504194,652672317,0
5829,select ref_0.d_fy_week_seq as c0 from main.date_dim as ref_0 where ref_0.d_current_quarter is not NULL,73049,73049,0,0.075664852,27713563,0
5898,select ref_0.cd_marital_status as c0 from main.customer_demographics as ref_0 where ref_0.cd_demo_sk is not NULL,1920800,1920800,0,0.135333187,82630611,0
5922,select ref_0.ca_gmt_offset as c0 from main.customer_address as ref_0 where ref_0.ca_country is NULL limit 181,181,181,0,0.072470223,20232697,0
5927,"select ref_0.wr_return_amt_inc_tax as c0, ref_0.wr_return_ship_cost as c1, ref_0.wr_returning_customer_sk as c2 from main.web_returns as ref_0 where ref_0.wr_reason_sk is not NULL limit 166",166,166,0,15.20919198,400452687,0
5935,"select ref_0.sr_store_sk as c0, ref_0.sr_hdemo_sk as c1, (select cs_ext_list_price from main.catalog_sales limit 1 offset 5) as c2, ref_0.sr_returned_date_sk as c3, ref_0.sr_fee as c4, ref_0.sr_addr_sk as c5, ref_0.sr_return_quantity as c6, ref_0.sr_return_amt_inc_tax as c7 from main.store_returns as ref_0 where case when ref_0.sr_addr_sk is not NULL then ref_0.sr_store_credit else ref_0.sr_store_credit end is not NULL limit 101",101,101,0,0.187136436,489199737,0
6144,select ref_0.cp_type as c0 from main.catalog_page as ref_0 where ref_0.cp_end_date_sk is not NULL limit 65,65,65,0,0.063219047,12436554,0
6283,"select ref_0.cs_ext_list_price as c0, ref_0.cs_quantity as c1, ref_0.cs_ship_mode_sk as c2, ref_0.cs_item_sk as c3, ref_0.cs_ext_wholesale_cost as c4, ref_0.cs_ext_sales_price as c5 from main.catalog_sales as ref_0 where (cast(coalesce(78, ref_0.cs_net_paid_inc_ship) as INTEGER) is not NULL) and (71 is NULL)",0,0,0,0.034375837,906902,0
6361,"select ref_0.sr_ticket_number as c0, ref_0.sr_reversed_charge as c1, (select cs_ship_cdemo_sk from main.catalog_sales limit 1 offset 2) as c2, ref_0.sr_hdemo_sk as c3, ref_0.sr_return_time_sk as c4, ref_0.sr_customer_sk as c5, ref_0.sr_reason_sk as c6, ref_0.sr_addr_sk as c7, ref_0.sr_addr_sk as c8, ref_0.sr_return_time_sk as c9 from main.store_returns as ref_0 where ref_0.sr_return_amt is NULL limit 166",166,166,0,0.157770068,599309082,0
6427,"select ref_0.ca_state as c0, 29 as c1, ref_0.ca_street_type as c2, 58 as c3, ref_0.ca_county as c4, ref_0.ca_address_sk as c5, ref_0.ca_street_type as c6 from main.customer_address as ref_0 where ref_0.ca_country is not NULL limit 136",136,136,0,0.07065948,12504783,0
6454,"select ref_0.d_quarter_seq as c0, ref_0.d_first_dom as c1 from main.date_dim as ref_0 where ref_0.d_same_day_ly is not NULL limit 80",80,80,0,0.063396672,12608570,0
6484,"select 82 as c0, ref_0.cr_returning_customer_sk as c1, ref_0.cr_order_number as c2, ref_0.cr_return_ship_cost as c3, ref_0.cr_returning_hdemo_sk as c4, ref_0.cr_warehouse_sk as c5, ref_0.cr_returning_hdemo_sk as c6, ref_0.cr_refunded_addr_sk as c7 from main.catalog_returns as ref_0 where (ref_0.cr_return_ship_cost is NULL) or ((ref_0.cr_returning_customer_sk is not NULL) and (ref_0.cr_refunded_customer_sk is not NULL)) limit 151",151,151,0,0.168858556,552131797,0
6559,"select (select cd_education_status from main.customer_demographics limit 1 offset 3) as c0, ref_0.d_weekend as c1, ref_0.d_dow as c2, ref_0.d_current_day as c3, ref_0.d_following_holiday as c4, ref_0.d_qoy as c5 from main.date_dim as ref_0 where ref_0.d_current_month is not NULL",73049,73049,0,0.07864229,25841976,0
6737,"select ref_0.sr_ticket_number as c0, ref_0.sr_return_amt_inc_tax as c1 from main.store_returns as ref_0 where ref_0.sr_return_amt_inc_tax is NULL limit 154",154,154,0,15.121191643,587738968,0
6777,"select ref_0.ca_state as c0, ref_0.ca_country as c1, ref_0.ca_county as c2, ref_0.ca_zip as c3, ref_0.ca_address_sk as c4, ref_0.ca_address_id as c5 from main.customer_address as ref_0 where ref_0.ca_country is NULL limit 82",82,82,0,0.068555774,18984280,0
6827,"select ref_0.c_salutation as c0, ref_0.c_first_shipto_date_sk as c1, case when cast(coalesce(ref_0.c_first_shipto_date_sk, ref_0.c_first_sales_date_sk) as INTEGER) is not NULL then ref_0.c_salutation else ref_0.c_salutation end as c2, ref_0.c_salutation as c3, (select c_first_name from main.customer limit 1 offset 3) as c4 from main.customer as ref_0 where cast(coalesce(ref_0.c_current_cdemo_sk, ref_0.c_birth_day) as INTEGER) is not NULL limit 91",91,91,0,0.069208968,12481064,0
6964,"select ref_0.ss_net_profit as c0, ref_0.ss_net_profit as c1, ref_0.ss_ext_list_price as c2, ref_0.ss_coupon_amt as c3 from main.store_sales as ref_0 where (ref_0.ss_hdemo_sk is not NULL) and (ref_0.ss_ext_tax is NULL) limit 49",49,49,0,15.830060566,947944531,0
6975,"select ref_0.cd_gender as c0, 59 as c1, ref_0.cd_dep_count as c2, ref_0.cd_credit_rating as c3, ref_0.cd_purchase_estimate as c4, ref_0.cd_credit_rating as c5, ref_0.cd_gender as c6 from main.customer_demographics as ref_0 where ref_0.cd_purchase_estimate is not NULL",1920800,1920800,0,0.367714574,42997028,0
7092,"select ref_0.cr_item_sk as c0, ref_0.cr_net_loss as c1, ref_0.cr_reason_sk as c2, ref_0.cr_ship_mode_sk as c3 from main.catalog_returns as ref_0 where ref_0.cr_refunded_addr_sk is not NULL limit 56",56,56,0,15.128185967,478005216,0
7318,"select ref_0.ca_county as c0, ref_0.ca_address_sk as c1, (select c_birth_country from main.customer limit 1 offset 4) as c2, ref_0.ca_address_sk as c3, ref_0.ca_gmt_offset as c4, ref_0.ca_street_number as c5, ref_0.ca_street_number as c6, (select d_last_dom from main.date_dim limit 1 offset 3) as c7, 54 as c8, ref_0.ca_gmt_offset as c9, ref_0.ca_country as c10, ref_0.ca_gmt_offset as c11 from main.customer_address as ref_0 where ref_0.ca_street_name is not NULL limit 142",142,142,0,0.074737369,11155981,0
7551,"select ref_0.cp_description as c0, ref_0.cp_catalog_page_number as c1, ref_0.cp_description as c2, ref_0.cp_catalog_page_id as c3, ref_0.cp_catalog_number as c4, (select cp_type from main.catalog_page limit 1 offset 3) as c5, ref_0.cp_department as c6, ref_0.cp_type as c7 from main.catalog_page as ref_0 where ref_0.cp_start_date_sk is not NULL",20400,20400,0,0.063528191,15127165,0
7559,"select ref_0.ca_city as c0, ref_0.ca_county as c1 from main.customer_address as ref_0 where case when ref_0.ca_county is not NULL then ref_0.ca_country else ref_0.ca_country end is not NULL limit 88",88,88,0,0.068769809,16576725,0
7833,"select ref_0.c_last_review_date as c0, (select cp_department from main.catalog_page limit 1 offset 4) as c1, cast(nullif(ref_0.c_current_cdemo_sk, ref_1.c_current_addr_sk) as INTEGER) as c2, ref_0.c_current_addr_sk as c3, 98 as c4, ref_1.c_birth_country as c5, case when ref_1.c_customer_sk is not NULL then ref_1.c_login else ref_1.c_login end as c6, ref_1.c_first_name as c7, ref_0.c_last_review_date as c8, ref_0.c_first_shipto_date_sk as c9 from main.customer as ref_0 inner join main.customer as ref_1 on (ref_1.c_birth_month is not NULL) where ((select cc_country from main.call_center limit 1 offset 1) is not NULL) and (ref_1.c_preferred_cust_flag is not NULL) limit 147",147,147,0,0.197036109,49575778,0
7994,"select ref_0.inv_item_sk as c0, ref_0.inv_item_sk as c1 from main.inventory as ref_0 where ((ref_0.inv_warehouse_sk is not NULL) and (ref_0.inv_quantity_on_hand is NULL)) and (cast(coalesce(ref_0.inv_warehouse_sk, ref_0.inv_warehouse_sk) as INTEGER) is not NULL) limit 118",118,118,0,0.155384358,608960090,0
7995,select ref_0.ss_net_profit as c0 from main.store_sales as ref_0 where ref_0.ss_ext_discount_amt is not NULL limit 74,74,74,0,15.280632977,641361437,0
8006,"select ref_0.sr_store_sk as c0, ref_0.sr_net_loss as c1, ref_0.sr_reversed_charge as c2, ref_0.sr_store_sk as c3 from main.store_returns as ref_0 where cast(coalesce(ref_0.sr_return_time_sk, ref_0.sr_ticket_number) as INTEGER) is not NULL limit 114",114,114,0,15.12847143,416262879,0
8097,"select (select inv_quantity_on_hand from main.inventory limit 1 offset 6) as c0, ref_0.sr_ticket_number as c1, ref_0.sr_item_sk as c2, ref_0.sr_return_ship_cost as c3 from main.store_returns as ref_0 where (ref_0.sr_return_amt_inc_tax is not NULL) and (ref_0.sr_return_ship_cost is NULL) limit 146",146,146,0,0.130252303,518472414,0
8165,"select ref_0.c_birth_country as c0, (select c_birth_year from main.customer limit 1 offset 6) as c1, ref_0.c_customer_id as c2, ref_0.c_birth_country as c3 from main.customer as ref_0 where ref_0.c_birth_day is NULL limit 54",54,54,0,0.075620879,24481309,0
8169,"select ref_0.cd_gender as c0 from main.customer_demographics as ref_0 where cast(coalesce(58, 78) as INTEGER) is not NULL limit 105",105,105,0,0.055765399,10997152,0
